Year,"Geographic
Region",State of Death,"Age
Group","Veteran
Suicides","Veteran
Suicide
Rate
per
100,000","General
Population
Suicides","General
Population
Rate per
100,000"
2001,Midwestern,Missouri,All,146,25.4,705,16.7
2001,Midwestern,Nebraska,18-34,<10,--,54,13.5
2001,Midwestern,Nebraska,35-54,13,23.2*,74,15.0
2001,Midwestern,Nebraska,55-74,12,19.0*,34,13.1
2001,Midwestern,Nebraska,75+,<10,--,16,13.6*
2001,Midwestern,Nebraska,All,36,21.7,178,14.0
2001,Midwestern,North Dakota,18-34,<10,--,20,13.3
2001,Midwestern,North Dakota,35-54,12,57.1*,34,18.5
2001,Midwestern,North Dakota,55-74,<10,--,10-20,--
2001,Midwestern,North Dakota,75+,<10,--,<10,--
2001,Midwestern,North Dakota,All,23,37.7,74,15.3
2001,Midwestern,Ohio,18-34,28,25.2,327,12.8
2001,Midwestern,Ohio,35-54,126,33.0,512,15.0
2001,Midwestern,Ohio,55-74,79,18.9,218,12.0
2001,Midwestern,Ohio,75+,53,27.5,130,17.8
2001,Midwestern,Ohio,All,286,25.9,1187,13.9
2001,Midwestern,South Dakota,18-34,<10,--,37,21.9
2001,Midwestern,South Dakota,35-54,14,51.9*,40,18.5
2001,Midwestern,South Dakota,55-74,<10,--,10-20,--
2001,Midwestern,South Dakota,75+,<10,--,<10,--
2001,Midwestern,South Dakota,All,27,35.1,98,17.6
2001,Midwestern,Wisconsin,18-34,<10,--,158,12.9
2001,Midwestern,Wisconsin,35-54,47,28.0,281,17.2
2001,Midwestern,Wisconsin,55-74,36,18.1,106,12.9
2001,Midwestern,Wisconsin,75+,20-30,--,61,17.4
2001,Midwestern,Wisconsin,All,115,23.0,606,15.0
2001,Southern,Alabama,18-34,12,26.1*,145,14.0
2001,Southern,Alabama,35-54,45,28.1,194,14.9
2001,Southern,Alabama,55-74,33,19.9,113,15.2
2001,Southern,Alabama,75+,14,21.2*,43,16.2
2001,Southern,Alabama,All,104,23.7,495,14.8
2001,Southern,All,18-34,252,22.4,3242,13.3
2001,Southern,All,35-54,970,27.2,4932,16.5
2001,Southern,All,55-74,701,19.5,2359,14.8
2001,Southern,All,75+,456,29.3,1161,19.9
2001,Southern,All,All,2380,24.2,11694,15.4
2001,Southern,Arkansas,18-34,13,44.8*,121,19.6
2001,Southern,Arkansas,35-54,23,24.0,144,19.0
2001,Southern,Arkansas,55-74,26,25.0,71,15.4
2001,Southern,Arkansas,75+,12,25.5*,33,18.7
2001,Southern,Arkansas,All,74,26.8,369,18.3
2001,Southern,Delaware,18-34,<10,--,31,16.8
2001,Southern,Delaware,35-54,13,44.8*,46,19.4
2001,Southern,Delaware,55-74,<10,--,10-20,--
2001,Southern,Delaware,75+,<10,--,<10,--
2001,Southern,Delaware,All,22,27.5,104,17.3
2001,Southern,District of Columbia,18-34,<10,--,17,9.7*
2001,Southern,District of Columbia,35-54,<10,--,14,8.5*
2001,Southern,District of Columbia,55-74,<10,--,<10,--
2001,Southern,District of Columbia,75+,<10,--,<10,--
2001,Southern,District of Columbia,All,<10,--,40,8.7
2001,Southern,Florida,18-34,38,22.9,483,13.9
2001,Southern,Florida,35-54,206,36.3,932,19.8
2001,Southern,Florida,55-74,144,20.6,521,16.9
2001,Southern,Florida,75+,133,32.3,330,23.9
2001,Southern,Florida,All,521,28.2,2266,17.9
2001,Southern,Georgia,18-34,14,13.7*,283,13.1
2001,Southern,Georgia,35-54,71,21.8,378,15.1
2001,Southern,Georgia,55-74,45,17.2,179,15.8
2001,Southern,Georgia,75+,24,27.9,62,17.4
2001,Southern,Georgia,All,154,19.9,902,14.6
2001,Southern,Kentucky,18-34,<10,--,134,13.8
2001,Southern,Kentucky,35-54,38,27.9,222,18.3
2001,Southern,Kentucky,55-74,17,12.3*,84,12.8
2001,Southern,Kentucky,75+,10-20,--,43,18.5
2001,Southern,Kentucky,All,74,19.8,483,15.7
2001,Southern,Louisiana,18-34,<10,--,139,13.0
2001,Southern,Louisiana,35-54,32,24.4,194,15.0
2001,Southern,Louisiana,55-74,37,26.8,97,14.5
2001,Southern,Louisiana,75+,20-30,--,45,19.0
2001,Southern,Louisiana,All,102,27.0,475,14.5
2001,Southern,Maryland,18-34,<10,--,123,10.2
2001,Southern,Maryland,35-54,36,18.2,196,11.5
2001,Southern,Maryland,55-74,20,10.7,79,9.7
2001,Southern,Maryland,75+,10-20,--,42,14.7
2001,Southern,Maryland,All,79,15.3,440,11.0
2001,Southern,Mississippi,18-34,11,37.9*,103,14.9
2001,Southern,Mississippi,35-54,21,24.7,125,15.7
2001,Southern,Mississippi,55-74,17,18.9*,62,14.2
2001,Southern,Mississippi,75+,14,35.9*,25,15.8
2001,Southern,Mississippi,All,63,25.9,315,15.1
2001,Southern,North Carolina,18-34,22,22.4,268,13.2
2001,Southern,North Carolina,35-54,78,26.1,415,17.0
2001,Southern,North Carolina,55-74,65,23.0,198,15.3
2001,Southern,North Carolina,75+,19,16.8*,85,19.1
2001,Southern,North Carolina,All,184,23.2,966,15.6
2001,Southern,Oklahoma,18-34,19,46.3*,143,17.5
2001,Southern,Oklahoma,35-54,43,33.9,214,21.7
2001,Southern,Oklahoma,55-74,26,18.7,95,16.8
2001,Southern,Oklahoma,75+,18,31.0*,46,21.4
2001,Southern,Oklahoma,All,107,29.3,498,19.3
2001,Southern,South Carolina,18-34,11,22.4*,140,14.4
2001,Southern,South Carolina,35-54,42,26.3,197,16.4
2001,Southern,South Carolina,55-74,26,17.0,92,13.9
2001,Southern,South Carolina,75+,15,26.3*,29,13.2
2001,Southern,South Carolina,All,94,22.4,458,15.0
2001,Southern,Tennessee,18-34,20,35.7,205,15.0
2001,Southern,Tennessee,35-54,57,27.5,277,16.1
2001,Southern,Tennessee,55-74,49,23.7,145,15.5
2001,Southern,Tennessee,75+,24,30.8,67,20.6
2001,Southern,Tennessee,All,150,27.4,694,16.0
2001,Southern,Texas,18-34,51,22.5,647,11.8
2001,Southern,Texas,35-54,178,27.6,914,15.0
2001,Southern,Texas,55-74,116,18.5,382,13.5
2001,Southern,Texas,75+,75,29.4,191,20.1
2001,Southern,Texas,All,420,23.9,2134,13.9
2001,Southern,Virginia,18-34,17,15.9*,201,11.6
2001,Southern,Virginia,35-54,68,20.9,353,15.7
2001,Southern,Virginia,55-74,44,16.3,148,13.5
2001,Southern,Virginia,75+,29,29.6,71,19.2
2001,Southern,Virginia,All,158,19.8,773,14.2
2001,Southern,West Virginia,18-34,<10,--,59,14.9
2001,Southern,West Virginia,35-54,10-20,--,117,21.5
2001,Southern,West Virginia,55-74,29,38.2,68,20.3
2001,Southern,West Virginia,75+,17,48.6*,38,29.4
2001,Southern,West Virginia,All,68,35.2,282,20.1
2001,Western,Alaska,18-34,<10,--,32,21.5
2001,Western,Alaska,35-54,10,27.8*,43,20.4
2001,Western,Alaska,55-74,<10,--,10-20,--
2001,Western,Alaska,75+,<10,--,<10,--
2001,Western,Alaska,All,15,20.8*,90,20.2
2001,Western,All,18-34,147,24.8,1966,12.3
2001,Western,All,35-54,629,31.8,2937,15.6
2001,Western,All,55-74,384,18.4,1379,15.3
2001,Western,All,75+,308,32.6,777,23.2
2001,Western,All,All,1468,26.2,7059,14.9
2001,Western,Arizona,18-34,12,20.7*,215,16.7
2001,Western,Arizona,35-54,72,38.9,302,20.9
2001,Western,Arizona,55-74,40,18.5,135,16.2
2001,Western,Arizona,75+,42,40.4,85,27.0
2001,Western,Arizona,All,166,29.5,737,19.0
2001,Western,California,18-34,46,18.4,746,8.6
2001,Western,California,35-54,188,22.5,1068,10.6
2001,Western,California,55-74,122,13.0,585,12.6
2001,Western,California,75+,118,26.0,352,20.1
2001,Western,California,All,474,19.1,2751,10.9
2001,Western,Colorado,18-34,19,35.8*,204,18.1
2001,Western,Colorado,35-54,53,30.1,304,21.9
2001,Western,Colorado,55-74,47,29.9,117,19.9
2001,Western,Colorado,75+,25,43.1,66,33.7
2001,Western,Colorado,All,144,32.4,691,20.9
2001,Western,Hawaii,18-34,<10,--,36,12.4
2001,Western,Hawaii,35-54,18,41.9*,58,15.8
2001,Western,Hawaii,55-74,<10,--,19,9.6*
2001,Western,Hawaii,75+,<10,--,16,20.4*
2001,Western,Hawaii,All,31,26.3,129,13.8
2001,Western,Idaho,18-34,<10,--,71,22.6
2001,Western,Idaho,35-54,<10,--,60,16.2
2001,Western,Idaho,55-74,10,20.4*,43,22.6
2001,Western,Idaho,75+,13,61.9*,23,32.2
2001,Western,Idaho,All,36,26.7,197,20.8
2001,Western,Montana,18-34,<10,--,42,22.0
2001,Western,Montana,35-54,16,44.4*,70,25.1
2001,Western,Montana,55-74,17,41.5*,35,23.1
2001,Western,Montana,75+,<10,--,21,35.4
2001,Western,Montana,All,43,41.0,168,24.7
2001,Western,Nevada,18-34,10,38.5*,81,16.0
2001,Western,Nevada,35-54,50,56.2,170,27.3
2001,Western,Nevada,55-74,31,32.3,89,26.0
2001,Western,Nevada,75+,24,72.7,40,42.7
2001,Western,Nevada,All,115,47.1,380,24.3
2001,Western,New Mexico,18-34,<10,--,87,21.0
2001,Western,New Mexico,35-54,48,68.6,163,30.6
2001,Western,New Mexico,55-74,15,21.4*,65,22.9
2001,Western,New Mexico,75+,<10,--,34,34.8
2001,Western,New Mexico,All,77,40.5,349,26.3
2001,Western,Oregon,18-34,19,52.8*,124,15.3
2001,Western,Oregon,35-54,53,40.5,225,21.5
2001,Western,Oregon,55-74,30,21.1,89,16.5
2001,Western,Oregon,75+,27,39.1,55,24.7
2001,Western,Oregon,All,129,34.1,493,18.8
2001,Western,Utah,18-34,10-20,--,111,16.8
2001,Western,Utah,35-54,27,50.0,136,24.7
2001,Western,Utah,55-74,14,23.3*,41,16.3
2001,Western,Utah,75+,<10,--,14,15.4*
2001,Western,Utah,All,57,35.8,302,19.4
2001,Western,Washington,18-34,13,17.3*,194,13.6
2001,Western,Washington,35-54,73,28.7,297,16.0
2001,Western,Washington,55-74,47,19.7,138,16.1
2001,Western,Washington,75+,29,29.6,66,19.9
2001,Western,Washington,All,162,24.4,695,15.6
2001,Western,Wyoming,18-34,<10,--,23,20.8
2001,Western,Wyoming,35-54,12,63.2*,41,26.7
2001,Western,Wyoming,55-74,<10,--,<10,--
2001,Western,Wyoming,75+,<10,--,<10,--
2001,Western,Wyoming,All,19,34.5*,77,20.9
2001,All,U.S. Total,18-34,618,23.6,8293,12.3
2001,All,U.S. Total,35-54,2509,28.2,12577,14.9
2001,All,U.S. Total,55-74,1693,17.3,5749,13.2
2001,All,U.S. Total,75+,1178,26.4,2961,17.5
2001,All,U.S. Total,All,6001,23.3,29580,13.9
2002,Northeastern,All,18-34,61,19.9,1148,9.5
2002,Northeastern,All,35-54,272,22.0,1825,11.1
2002,Northeastern,All,55-74,224,12.5,804,9.0
2002,Northeastern,All,75+,153,16.2,393,10.6
2002,Northeastern,All,All,711,16.6,4170,10.1
2002,Northeastern,Connecticut,18-34,<10,--,61,8.5
2002,Northeastern,Connecticut,35-54,20,25.0,118,10.9
2002,Northeastern,Connecticut,55-74,15,12.1*,53,9.3
2002,Northeastern,Connecticut,75+,<10,--,21,8.5
2002,Northeastern,Connecticut,All,45,15.6,253,9.7
2002,Northeastern,Maine,18-34,<10,--,49,18.8
2002,Northeastern,Maine,35-54,13,25.5*,66,16.0
2002,Northeastern,Maine,55-74,12,19.4*,31,13.3
2002,Northeastern,Maine,75+,<10,--,17,18.8*
2002,Northeastern,Maine,All,38,25.2,163,16.3
2002,Northeastern,Massachusetts,18-34,13,37.1*,121,8.1
2002,Northeastern,Massachusetts,35-54,31,21.8,190,9.7
2002,Northeastern,Massachusetts,55-74,20,9.2,83,8.2
2002,Northeastern,Massachusetts,75+,20,16.9,35,8.0
2002,Northeastern,Massachusetts,All,84,16.4,429,8.7
2002,Northeastern,New Hampshire,18-34,<10,--,37,13.9
2002,Northeastern,New Hampshire,35-54,11,22.9*,51,12.2
2002,Northeastern,New Hampshire,55-74,<10,--,20-30,--
2002,Northeastern,New Hampshire,75+,<10,--,<10,--
2002,Northeastern,New Hampshire,All,28,20.3,125,13.1
2002,Northeastern,New Jersey,18-34,<10,--,141,7.6
2002,Northeastern,New Jersey,35-54,20-30,--,214,8.1
2002,Northeastern,New Jersey,55-74,30,11.5,113,8.2
2002,Northeastern,New Jersey,75+,29,20.4,75,13.6
2002,Northeastern,New Jersey,All,87,14.4,543,8.4
2002,Northeastern,New York,18-34,<10,--,347,7.7
2002,Northeastern,New York,35-54,58,16.3,511,9.0
2002,Northeastern,New York,55-74,49,9.4,221,7.2
2002,Northeastern,New York,75+,20-30,--,109,9.0
2002,Northeastern,New York,All,139,11.1,1188,8.2
2002,Northeastern,Pennsylvania,18-34,20,22.2,348,13.2
2002,Northeastern,Pennsylvania,35-54,105,30.1,595,16.2
2002,Northeastern,Pennsylvania,55-74,84,17.1,244,11.3
2002,Northeastern,Pennsylvania,75+,54,20.1,107,11.0
2002,Northeastern,Pennsylvania,All,263,22.0,1294,13.7
2002,Northeastern,Rhode Island,18-34,<10,--,24,9.6
2002,Northeastern,Rhode Island,35-54,<10,--,39,12.2
2002,Northeastern,Rhode Island,55-74,<10,--,10-20,--
2002,Northeastern,Rhode Island,75+,<10,--,<10,--
2002,Northeastern,Rhode Island,All,13,14.1*,84,10.3
2002,Northeastern,Vermont,18-34,<10,--,20,15.2
2002,Northeastern,Vermont,35-54,<10,--,41,20.8
2002,Northeastern,Vermont,55-74,<10,--,16,15.3*
2002,Northeastern,Vermont,75+,<10,--,14,36.8*
2002,Northeastern,Vermont,All,14,25.0*,91,19.3
2002,Midwestern,All,18-34,128,23.7,1967,13.1
2002,Midwestern,All,35-54,590,31.2,3006,15.7
2002,Midwestern,All,55-74,447,19.6,1284,12.6
2002,Midwestern,All,75+,276,25.9,638,15.5
2002,Midwestern,All,All,1441,24.9,6895,14.2
2002,Midwestern,Illinois,18-34,14,14.9*,329,10.9
2002,Midwestern,Illinois,35-54,77,27.0,464,12.7
2002,Midwestern,Illinois,55-74,85,22.4,234,12.5
2002,Midwestern,Illinois,75+,41,22.4,85,11.5
2002,Midwestern,Illinois,All,217,23.1,1112,12.0
2002,Midwestern,Indiana,18-34,18,33.3*,213,14.8
2002,Midwestern,Indiana,35-54,71,35.7,321,17.8
2002,Midwestern,Indiana,55-74,38,17.4,134,13.9
2002,Midwestern,Indiana,75+,23,23.7,55,15.0
2002,Midwestern,Indiana,All,150,26.4,723,15.8
2002,Midwestern,Iowa,18-34,<10,--,103,15.6
2002,Midwestern,Iowa,35-54,10-20,--,123,14.6
2002,Midwestern,Iowa,55-74,19,17.1*,49,10.1
2002,Midwestern,Iowa,75+,15,26.8*,29,12.8
2002,Midwestern,Iowa,All,57,20.6,304,13.8
2002,Midwestern,Kansas,18-34,<10,--,99,15.7
2002,Midwestern,Kansas,35-54,39,44.8,143,18.4
2002,Midwestern,Kansas,55-74,10-20,--,54,13.1
2002,Midwestern,Kansas,75+,17,34.7*,38,20.9
2002,Midwestern,Kansas,All,77,29.8,334,16.7
2002,Midwestern,Michigan,18-34,19,25.0*,289,12.7
2002,Midwestern,Michigan,35-54,90,31.8,492,16.5
2002,Midwestern,Michigan,55-74,54,15.7,182,11.6
2002,Midwestern,Michigan,75+,35,22.6,101,16.9
2002,Midwestern,Michigan,All,198,23.1,1064,14.3
2002,Midwestern,Minnesota,18-34,<10,--,151,13.0
2002,Midwestern,Minnesota,35-54,38,26.0,202,13.3
2002,Midwestern,Minnesota,55-74,29,15.9,77,10.4
2002,Midwestern,Minnesota,75+,20-30,--,45,14.6
2002,Midwestern,Minnesota,All,98,22.2,475,12.7
2002,Midwestern,Missouri,18-34,15,27.8*,163,12.6
2002,Midwestern,Missouri,35-54,71,36.8,319,19.3
2002,Midwestern,Missouri,55-74,62,27.8,142,15.1
2002,Midwestern,Missouri,75+,22,21.6,50,13.5
2002,Midwestern,Missouri,All,170,29.7,674,15.9
2002,Midwestern,Nebraska,18-34,<10,--,51,12.7
2002,Midwestern,Nebraska,35-54,<10,--,89,18.0
2002,Midwestern,Nebraska,55-74,18,27.7*,37,13.9
2002,Midwestern,Nebraska,75+,<10,--,14,11.8*
2002,Midwestern,Nebraska,All,38,23.3,191,14.9
2002,Midwestern,North Dakota,18-34,<10,--,27,17.8
2002,Midwestern,North Dakota,35-54,10,52.6*,37,20.3
2002,Midwestern,North Dakota,55-74,<10,--,16,15.7*
2002,Midwestern,North Dakota,75+,<10,--,10,20.4*
2002,Midwestern,North Dakota,All,21,35.6,90,18.6
2002,Midwestern,Ohio,18-34,23,21.9,332,13.0
2002,Midwestern,Ohio,35-54,107,29.9,527,15.6
2002,Midwestern,Ohio,55-74,88,21.0,248,13.3
2002,Midwestern,Ohio,75+,53,26.6,139,18.8
2002,Midwestern,Ohio,All,271,25.1,1246,14.6
2002,Midwestern,South Dakota,18-34,<10,--,27,15.8
2002,Midwestern,South Dakota,35-54,<10,--,32,14.9
2002,Midwestern,South Dakota,55-74,<10,--,12,10.1*
2002,Midwestern,South Dakota,75+,<10,--,11,19.6*
2002,Midwestern,South Dakota,All,25,31.6,82,14.6
2002,Midwestern,Wisconsin,18-34,<10,--,183,14.9
2002,Midwestern,Wisconsin,35-54,57,36.1,257,15.7
2002,Midwestern,Wisconsin,55-74,29,14.6,99,11.6
2002,Midwestern,Wisconsin,75+,20-30,--,61,17.1
2002,Midwestern,Wisconsin,All,119,24.4,600,14.7
2002,Southern,Alabama,18-34,<10,--,129,12.5
2002,Southern,Alabama,35-54,38,24.4,209,16.1
2002,Southern,Alabama,55-74,33,19.8,106,13.8
2002,Southern,Alabama,75+,10-20,--,53,19.8
2002,Southern,Alabama,All,99,22.6,497,14.8
2002,Southern,All,18-34,240,22.1,3139,12.8
2002,Southern,All,35-54,919,26.6,5065,16.8
2002,Southern,All,55-74,722,19.9,2443,14.8
2002,Southern,All,75+,545,33.6,1186,20.1
2002,Southern,All,All,2430,24.8,11833,15.3
2002,Southern,Arkansas,18-34,<10,--,109,17.6
2002,Southern,Arkansas,35-54,31,34.1,156,20.7
2002,Southern,Arkansas,55-74,20,18.9,66,13.9
2002,Southern,Arkansas,75+,10-20,--,32,18.1
2002,Southern,Arkansas,All,74,26.9,363,17.9
2002,Southern,Delaware,18-34,<10,--,17,9.2*
2002,Southern,Delaware,35-54,<10,--,35,14.6
2002,Southern,Delaware,55-74,<10,--,10-20,--
2002,Southern,Delaware,75+,<10,--,<10,--
2002,Southern,Delaware,All,12,14.6*,69,11.3
2002,Southern,District of Columbia,18-34,<10,--,11,6.3*
2002,Southern,District of Columbia,35-54,<10,--,11,6.7*
2002,Southern,District of Columbia,55-74,<10,--,<10,--
2002,Southern,District of Columbia,75+,<10,--,<10,--
2002,Southern,District of Columbia,All,<10,--,31,6.7
2002,Southern,Florida,18-34,41,25.5,442,12.5
2002,Southern,Florida,35-54,190,34.3,1008,21.1
2002,Southern,Florida,55-74,136,19.6,526,16.5
2002,Southern,Florida,75+,128,30.3,318,22.8
2002,Southern,Florida,All,495,27.0,2294,17.8
2002,Southern,Georgia,18-34,13,13.3*,241,11.1
2002,Southern,Georgia,35-54,70,22.2,364,14.4
2002,Southern,Georgia,55-74,55,20.4,187,15.7
2002,Southern,Georgia,75+,44,47.8,92,25.4
2002,Southern,Georgia,All,182,23.5,884,14.1
2002,Southern,Kentucky,18-34,10,25.0*,157,16.2
2002,Southern,Kentucky,35-54,30,23.1,233,19.2
2002,Southern,Kentucky,55-74,35,25.2,90,13.2
2002,Southern,Kentucky,75+,23,38.3,49,20.9
2002,Southern,Kentucky,All,99,26.8,529,17.1
2002,Southern,Louisiana,18-34,13,27.7*,167,15.5
2002,Southern,Louisiana,35-54,34,27.6,187,14.5
2002,Southern,Louisiana,55-74,31,22.8,92,13.3
2002,Southern,Louisiana,75+,23,37.1,42,17.5
2002,Southern,Louisiana,All,101,27.4,488,14.8
2002,Southern,Maryland,18-34,11,20.0*,127,10.5
2002,Southern,Maryland,35-54,42,22.0,186,10.9
2002,Southern,Maryland,55-74,22,11.7,104,12.3
2002,Southern,Maryland,75+,14,17.5*,41,14.1
2002,Southern,Maryland,All,89,17.3,458,11.3
2002,Southern,Mississippi,18-34,<10,--,111,16.1
2002,Southern,Mississippi,35-54,36,45.0,142,17.8
2002,Southern,Mississippi,55-74,21,23.3,58,12.8
2002,Southern,Mississippi,75+,10-20,--,20,12.6
2002,Southern,Mississippi,All,77,32.4,331,15.8
2002,Southern,North Carolina,18-34,18,19.6*,239,11.8
2002,Southern,North Carolina,35-54,66,22.7,408,16.6
2002,Southern,North Carolina,55-74,60,20.8,236,17.5
2002,Southern,North Carolina,75+,38,32.2,84,18.4
2002,Southern,North Carolina,All,182,23.0,967,15.4
2002,Southern,Oklahoma,18-34,<10,--,143,17.3
2002,Southern,Oklahoma,35-54,40,32.8,209,21.3
2002,Southern,Oklahoma,55-74,33,23.6,89,15.3
2002,Southern,Oklahoma,75+,10-20,--,42,19.5
2002,Southern,Oklahoma,All,96,26.5,483,18.5
2002,Southern,South Carolina,18-34,<10,--,114,11.7
2002,Southern,South Carolina,35-54,34,22.2,189,15.8
2002,Southern,South Carolina,55-74,28,17.9,90,13.0
2002,Southern,South Carolina,75+,20-30,--,38,17.0
2002,Southern,South Carolina,All,90,21.5,431,14.0
2002,Southern,Tennessee,18-34,<10,--,211,15.5
2002,Southern,Tennessee,35-54,66,33.7,324,18.9
2002,Southern,Tennessee,55-74,50,23.7,158,16.2
2002,Southern,Tennessee,75+,30-40,--,66,20.1
2002,Southern,Tennessee,All,160,29.6,759,17.3
2002,Southern,Texas,18-34,60,27.3,650,11.7
2002,Southern,Texas,35-54,156,24.9,967,15.7
2002,Southern,Texas,55-74,120,18.9,408,13.8
2002,Southern,Texas,75+,92,34.8,184,19.0
2002,Southern,Texas,All,429,24.6,2209,14.1
2002,Southern,Virginia,18-34,22,20.8,190,10.9
2002,Southern,Virginia,35-54,58,18.2,322,14.3
2002,Southern,Virginia,55-74,60,21.9,171,14.9
2002,Southern,Virginia,75+,42,40.8,88,23.4
2002,Southern,Virginia,All,182,22.7,771,14.0
2002,Southern,West Virginia,18-34,<10,--,81,20.4
2002,Southern,West Virginia,35-54,21,35.0,115,21.3
2002,Southern,West Virginia,55-74,16,20.5*,47,13.6
2002,Southern,West Virginia,75+,10-20,--,26,19.9
2002,Southern,West Virginia,All,59,30.7,269,19.1
